#,stateKey,lang,text,buttons,parseMode,disablePreview,mediaType,mediaID
1,/dashboard/newUser,ru,"👋 <b>Здравствуйте, {firstname}!</b>

Прежде чем начать, пожалуйста, ознакомьтесь с <b>правилами платформы</b>:

После этого нажмите <b>«Я принимаю»</b>, чтобы продолжить.
","|webapp|library.jetup.info/books/doc-ru:Изучить правила 📖
/acceptEula:Я принимаю правила ✅
lang_en:🇬🇧; lang_de:🇩🇪; lang_ru:🇷🇺;",HTML,1,picture,AgACAgIAAxkBAAIhZGgQ1VwKtYAtxmICU3CLp4znSTkqAAL27zEb-CGJSNMRqsirJpwIAQADAgADeQADNgQ
1,/dashboard/newUser,en,"👋 <b>Hello, {firstname}!</b>

Before we get started, please read the <b>platform rules</b>:

Then tap <b>"I accept"</b> to continue.
","|webapp|library.jetup.info/books/doc-en:Learn the rules 🔎
/acceptEula:I accept the rules ✅
lang_en:🇬🇧; lang_de:🇩🇪; lang_ru:🇷🇺;",HTML,1,picture,AgACAgIAAxkBAAIhZGgQ1VwKtYAtxmICU3CLp4znSTkqAAL27zEb-CGJSNMRqsirJpwIAQADAgADeQADNgQ
1,/dashboard/newUser,de,"👋 <b>Hallo, {firstname}!</b>

Bevor wir starten, lies bitte die <b>Plattform-Regeln</b>:

Tippe anschließend auf <b>„Ich akzeptiere"</b>, um fortzufahren.","|webapp|library.jetup.info/books/doc-de:Lerne die Regeln 🔎
/acceptEula:Ich akzeptiere die Regeln ✅
lang_en:🇬🇧; lang_de:🇩🇪; lang_ru:🇷🇺;",HTML,1,picture,AgACAgIAAxkBAAIhZGgQ1VwKtYAtxmICU3CLp4znSTkqAAL27zEb-CGJSNMRqsirJpwIAQADAgADeQADNgQ
2,/dashboard/noSubscribe,ru,"📢 <b>Для полного доступа к JETUP</b>

Чтобы разблокировать все функции, необходимо <b>подписаться на наш официальный новостной канал.</b>

👉 <b>Нажмите здесь:</b>
|rgroup:- <a href=""{url}"">📣 {langChannel}</a>|

Там вы будете получать обновления, новые проекты и учебные материалы.

✅ После подписки на канал, пожалуйста, нажмите ниже:
",/check/subscription:Я подписался ✅,HTML,1,picture,AgACAgIAAxkBAAIhZmgQ1fYksuYitAkMWPUHktX90r_yAAL77zEb-CGJSLdqm6gPE1JqAQADAgADeQADNgQ
2,/dashboard/noSubscribe,en,"📢 <b>For full access to JETUP</b>

To unlock all features, you must <b>subscribe to our official news channel.</b>

👉 <b>Click here:</b>
|rgroup:- <a href=""{url}"">📣 {langChannel}</a>|

There you will receive updates, new projects, and training materials.

✅ After subscribing to the channel, please click below:
",/check/subscription:I've subscribed ✅,HTML,1,picture,AgACAgIAAxkBAAIhZmgQ1fYksuYitAkMWPUHktX90r_yAAL77zEb-CGJSLdqm6gPE1JqAQADAgADeQADNgQ
2,/dashboard/noSubscribe,de,"📢 <b>Für die volle Nutzung von JETUP</b>

Um Zugriff auf alle Funktionen zu erhalten, musst du <b>unseren offiziellen Nachrichtenkanal abonnieren.</b>

📣 <b>Jetzt hier klicken:</b>
|rgroup:- <a href=""{url}"">👉 {langChannel}</a>|

Dort erhälst du Updates zu neuen Projekten und Schulungsmaterialien.

✅ Nachdem du den Kanal abonniert hast, klicke bitte unten auf:
",/check/subscription:Ich habe abonniert ✅,HTML,1,picture,AgACAgIAAxkBAAIhZmgQ1fYksuYitAkMWPUHktX90r_yAAL77zEb-CGJSLdqm6gPE1JqAQADAgADeQADNgQ
